processed,shot_no,variation_no,prompt
true,29,1,"human, medium shot, complex — The judge in a stark black robe delivers the verdict, expression stern, mouth set in severity, one hand gripping a gavel. In the lower frame, the boy, 11 (dusty blue shirt, trousers, worn shoes) stands before him, posture slumped, face pale and resigned. Background clerks scribble with quills. Harsh gray light falls from above, outlining the judge. Mood harsh finality, oppressive authority. in Ghibli / RPG storybook watercolor style"
true,29,2,"human, close-up, complex — A detailed close-up of a wooden gavel slamming down on a desk, the judge’s black robe sleeve visible, his hand firm and unyielding. In blurred background, the boy, small and faint in dusty blue, stands still. The light is cold and stark, atmosphere harsh, echoing, condemning. in Ghibli / RPG storybook watercolor style"
true,30,1,"human, wide shot, complex — In a dim stone jail cell, lit only by the flicker of a single candle on a small table, the boy, 11 (dusty blue shirt, loose trousers, scuffed shoes) sits on the cot, tearful eyes glinting in candlelight. The baker, 60 (brown cap, rolled ochre shirt, flour-streaked apron, trousers, worn shoes) enters the cell carrying a fresh loaf of bread, expression gentle, deeply sorrowful. Warm candlelight contrasts with the cold gray stone walls, shadows flickering. Mood poignant, sacred, intimate. in Ghibli / RPG storybook watercolor style"
true,30,2,"human, close-up, complex — In candlelit gloom, the baker’s hands, flour-streaked and strong, hold a loaf of bread extended forward. His ochre sleeve and apron edge visible. Facing him, the boy’s tear-bright eyes, bruised cheek, trembling mouth appear above his dusty blue collar, posture slightly hunched. The candle flame glows warmly between them, shadows dancing across stone walls. Mood sacred offering, fragile hope. in Ghibli / RPG storybook watercolor style"
true,31,1,"human, medium two-shot, complex — In a dim jail cell lit by a single candle, the boy, 11 (dusty blue oversized shirt, cream undershirt, loose trousers, scuffed shoes) sits on a narrow cot, tears streaming down his bruised face, shoulders shaking. The elderly baker, 60 (brown cap, rolled ochre shirt, flour-streaked cream apron, dark trousers, worn shoes) sits beside him, one arm wrapped gently across the boy’s shoulders, expression tender, eyes full of sorrow but calm reassurance. Candlelight flickers warmly across their faces, casting long shadows on cold stone walls. Mood intimate, heartbreaking, compassionate. in Ghibli / RPG storybook watercolor style"
true,31,2,"human, close-up, complex — The boy’s tear-streaked face fills most of the frame: eyes shimmering, lips trembling, posture hunched in grief. His dusty blue collar hangs loose, shoulders quivering. Beside him, the baker’s gentle hand in ochre sleeve rests firmly against the boy’s back, a fragment of his apron visible. The candle’s warm glow lights their faces softly against the cold stone background. Mood raw sorrow balanced with gentle reassurance. in Ghibli / RPG storybook watercolor style"
true,32,1,"human, wide shot, complex — A symbolic vision within the jail cell: the baker, 60 (brown cap, ochre shirt, flour-dusted apron) holds a loaf of bread in both hands, golden crust steaming. Beside him, the boy, 11 (dusty blue shirt, loose trousers, scuffed shoes) gazes at it with awe. In the air around them, a visionary overlay of bread dough swelling and rising in a glowing oven, flames flickering like halos. Candlelight and oven glow blend into a radiant aura, illuminating the pair against dark stone. Mood sacred, symbolic, transcendent. in Ghibli / RPG storybook watercolor style"
true,32,2,"human, close-up, complex — The baker’s hands, weathered and flour-streaked, cradle a loaf of bread glowing softly, sleeves of his rolled ochre shirt visible. Reflected faintly in the bread’s glow is the boy’s tearful, uplifted face, dusty blue collar visible, expression filled with quiet awe. Behind them, the stone cell dissolves symbolically into a glowing oven interior, golden crust rising within flames. Mood poetic metaphor, hopeful transcendence. in Ghibli / RPG storybook watercolor style"
true,33,1,"human, wide shot, complex — At dawn in a 1930s prison yard, high stone walls loom, iron gates closed. The boy, 11 (dusty blue shirt, loose trousers, scuffed shoes) walks between two guards in dark uniforms, posture small but steady. The baker, 60 (brown cap, ochre shirt, cream apron, worn shoes) stands off to the side, watching in still silence, expression sorrowful but composed. Above, the dawn sky glows soft pink and pale gold, rays breaking past the walls, casting long cool shadows. Mood solemn, ritualistic, transcendent. in Ghibli / RPG storybook watercolor style"
true,33,2,"human, low angle, complex — The boy, 11 (dusty blue shirt hanging loose, trousers frayed, shoes worn) walks forward escorted by guards, head lowered but stride steady. In the near foreground, the baker’s silhouette watches, cap brim shadowing his face, hands clenched quietly at his sides. Above, the dawn sky expands, radiant with pink and gold light. Atmosphere somber but ascending, symbolic of release. in Ghibli / RPG storybook watercolor style"
true,34,1,"human, wide shot, complex — At the edge of the prison yard at dawn, the boy, 11 (dusty blue shirt, loose trousers, worn shoes) stands facing the rising sun, posture calm, face serene despite tears. Nearby, the baker, 60 (brown cap, ochre shirt, flour-dusted apron, worn shoes) watches him, hands clasped together as if in prayer, expression gentle and mournful. The sky glows with radiant pink and gold light, washing over the scene. Mood sacred, transcendental, final blessing. in Ghibli / RPG storybook watercolor style"
true,34,2,"human, close-up, complex — The baker’s weathered face, brown cap brim shadowing his eyes, looks upward, lips murmuring softly, expression filled with sorrow and faith. In the background blur, the boy’s dusty blue collar and bruised cheek are lit in radiant dawn light, face serene. The sky behind glows pink-gold, symbolic of transcendence. Atmosphere sacred prayer, final release. in Ghibli / RPG storybook watercolor style"
